clean	delete	keeplocal	rc=0	ff	absent	backup=no	OK
clean	delete	ordinary	rc=0	ff	absent	backup=no	OK
clean	modify	keeplocal	rc=0	ff	file:ORIGIN-V2_body:ff8d05ce	backup=no	OK	il campo `outcome` ora porta anche l'hash del contenuto: la misura NON e' cambiata, e l'hash CONFERMA che il prefisso leggibile diceva il vero (nessun file diverso condivideva i primi 14 byte). Verdetto e motivo riportati per coordinata.
clean	modify	ordinary	rc=0	ff	file:ORIGIN-V2_body:ff8d05ce	backup=no	OK	il campo `outcome` ora porta anche l'hash del contenuto: la misura NON e' cambiata, e l'hash CONFERMA che il prefisso leggibile diceva il vero (nessun file diverso condivideva i primi 14 byte). Verdetto e motivo riportati per coordinata.
clean	rename_away	keeplocal	rc=0	ff	absent	backup=no	OK
clean	rename_away	ordinary	rc=0	ff	absent	backup=no	OK
clean	rename_away_and_tree	keeplocal	rc=0	ff	dir	backup=no	OK
clean	rename_away_and_tree	ordinary	rc=0	ff	dir	backup=no	OK
clean	rename_case_only	keeplocal	rc=0	ff	case-renamed:subject.md:10ed6daf	backup=file	OK	Nulla di locale da perdere: il file arriva sotto la grafia nuova col contenuto di origin. La protezione keep-local NON si attiva (MECCANISMO VERIFICATO (non plausibile): il controllo della keeplist in resolve_collisions() vive SOLO dentro il ramo protetto da `git ls-files --error-unmatch -- "$f"` contro l'indice LOCALE. git appaia Subject.md->subject.md come R100, quindi `git diff --name-only HEAD "$REMOTE"` consegna al resolver la sola grafia NUOVA, che nell'indice locale non e' tracciata finche' il ff non atterra: il path prende SEMPRE il ramo untracked/ignored, che l'allowlist non la consulta mai. Misurato con tre allowlist diverse (grafia originale, grafia in arrivo, vuota): esiti BYTE-IDENTICI. Non e' un errore di grafia riparabile riscrivendo la voce - la keeplist e' irraggiungibile per questa forma.) ma qui non c'e' nulla da proteggere, quindi il comportamento e' corretto e la mancata attivazione non e' un difetto DI QUESTA cella.
clean	rename_case_only	ordinary	rc=0	ff	case-renamed:subject.md:10ed6daf	backup=file	OK	Locale pulito, rename di sola maiuscola applicato, contenuto = base di origin (10ed6daf). Corretto.
clean	tree_at_path	keeplocal	rc=0	ff	dir	backup=no	OK
clean	tree_at_path	ordinary	rc=0	ff	dir	backup=no	OK
